"Downloaded on",02/27/2024,"22:09:49 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title
"H.R. 5678",https://www.congress.gov/bill/117th-congress/house-bill/5678,"117th Congress (2021-2022)","Firearms Retailer Code of Conduct Act of 2021"
"H.R. 4836",https://www.congress.gov/bill/117th-congress/house-bill/4836,"117th Congress (2021-2022)","Firearm Owners Responsibility and Safety Act"
"H.R. 3096",https://www.congress.gov/bill/117th-congress/house-bill/3096,"117th Congress (2021-2022)","Federal Law Enforcement Officer Service Weapon Purchase Act"
"H.R. 4888",https://www.congress.gov/bill/117th-congress/house-bill/4888,"117th Congress (2021-2022)","Local Public Health And Safety Protection Act"
"H.R. 1494",https://www.congress.gov/bill/117th-congress/house-bill/1494,"117th Congress (2021-2022)","Zero Tolerance for Domestic Abusers Act"
"H.Res. 275",https://www.congress.gov/bill/117th-congress/house-resolution/275,"117th Congress (2021-2022)","Condemning the horrific shootings in Atlanta, Georgia, on March 16, 2021, and reaffirming the House of Representative’s commitment to combating hate, bigotry, and violence against the Asian-American and Pacific Islander community."
"S. 527",https://www.congress.gov/bill/117th-congress/senate-bill/527,"117th Congress (2021-2022)","Protecting Domestic Violence and Stalking Victims Act of 2021"
"H.R. 2427",https://www.congress.gov/bill/117th-congress/house-bill/2427,"117th Congress (2021-2022)","NFA Modernization Act of 2021"
"S.Res. 199",https://www.congress.gov/bill/117th-congress/senate-resolution/199,"117th Congress (2021-2022)","A resolution condemning the horrific shootings in Atlanta, Georgia, on March 16, 2021, and reaffirming the commitment of the Senate to combating hate, bigotry, and violence against the Asian American and Pacific Islander community."
"H.R. 7859",https://www.congress.gov/bill/117th-congress/house-bill/7859,"117th Congress (2021-2022)","PREP for All Students Act of 2022"
"S. 4259",https://www.congress.gov/bill/117th-congress/senate-bill/4259,"117th Congress (2021-2022)","PREP for All Students Act of 2022"
"H.R. 8",https://www.congress.gov/bill/117th-congress/house-bill/8,"117th Congress (2021-2022)","Bipartisan Background Checks Act of 2021"
"H.R. 1952",https://www.congress.gov/bill/117th-congress/house-bill/1952,"117th Congress (2021-2022)","Stopping the Iron Pipeline Act of 2021"
"H.R. 1808",https://www.congress.gov/bill/117th-congress/house-bill/1808,"117th Congress (2021-2022)","Assault Weapons Ban of 2022"
"H.R. 8997",https://www.congress.gov/bill/117th-congress/house-bill/8997,"117th Congress (2021-2022)","No SmartPay for Anti-2A Companies Act"
"S.Res. 140",https://www.congress.gov/bill/117th-congress/senate-resolution/140,"117th Congress (2021-2022)","A resolution condemning the horrific shootings in Atlanta, Georgia, on March 16, 2021, and reaffirming the commitment of the Senate to combating hate, bigotry, and violence against the Asian-American and Pacific Islander community."
"H.Res. 981",https://www.congress.gov/bill/117th-congress/house-resolution/981,"117th Congress (2021-2022)","Commemorating the 1-year anniversary of the March 16, 2021, shootings in Atlanta, Georgia, and denouncing anti-Asian hate."
"S. 736",https://www.congress.gov/bill/117th-congress/senate-bill/736,"117th Congress (2021-2022)","Assault Weapons Ban of 2021"
"S. 2873",https://www.congress.gov/bill/117th-congress/senate-bill/2873,"117th Congress (2021-2022)","PATHS Act"
"S. 4606",https://www.congress.gov/bill/117th-congress/senate-bill/4606,"117th Congress (2021-2022)","Preventing Illegal Weapons Trafficking Act of 2022"
"H.R. 4118",https://www.congress.gov/bill/117th-congress/house-bill/4118,"117th Congress (2021-2022)","Break the Cycle of Violence Act"
"S. 2982",https://www.congress.gov/bill/117th-congress/senate-bill/2982,"117th Congress (2021-2022)","Child Suicide Prevention and Lethal Means Safety Act"
"H.R. 5035",https://www.congress.gov/bill/117th-congress/house-bill/5035,"117th Congress (2021-2022)","Child Suicide Prevention and Lethal Means Safety Act"
"H.R. 7908",https://www.congress.gov/bill/117th-congress/house-bill/7908,"117th Congress (2021-2022)","PASS Act"
"S. 292",https://www.congress.gov/bill/117th-congress/senate-bill/292,"117th Congress (2021-2022)","Extreme Risk Protection Order and Violence Prevention Act of 2021"
"S. 2275",https://www.congress.gov/bill/117th-congress/senate-bill/2275,"117th Congress (2021-2022)","Break the Cycle of Violence Act"
"S. 4501",https://www.congress.gov/bill/117th-congress/senate-bill/4501,"117th Congress (2021-2022)","Concealed Carry Reciprocity Act"
"H.R. 1008",https://www.congress.gov/bill/117th-congress/house-bill/1008,"117th Congress (2021-2022)","Handgun Trigger Safety Act of 2021"
"S. 1775",https://www.congress.gov/bill/117th-congress/senate-bill/1775,"117th Congress (2021-2022)","Protecting Communities and Preserving the Second Amendment Act of 2021"
"H.R. 38",https://www.congress.gov/bill/117th-congress/house-bill/38,"117th Congress (2021-2022)","Concealed Carry Reciprocity Act"
"H.R. 130",https://www.congress.gov/bill/117th-congress/house-bill/130,"117th Congress (2021-2022)","Kimberly Vaughan Firearm Safe Storage Act"
"H.R. 3960",https://www.congress.gov/bill/117th-congress/house-bill/3960,"117th Congress (2021-2022)","Brian A. Terry Memorial Eliminate the ATF Act"
"S. 591",https://www.congress.gov/bill/117th-congress/senate-bill/591,"117th Congress (2021-2022)","Background Check Completion Act of 2021"
"H.R. 1004",https://www.congress.gov/bill/117th-congress/house-bill/1004,"117th Congress (2021-2022)","Firearm Risk Protection Act of 2021"
"H.R. 135",https://www.congress.gov/bill/117th-congress/house-bill/135,"117th Congress (2021-2022)","Accidental Firearms Transfers Reporting Act of 2021"
"H.R. 1961",https://www.congress.gov/bill/117th-congress/house-bill/1961,"117th Congress (2021-2022)","ATF Accountability Act of 2021"
"H.R. 4992",https://www.congress.gov/bill/117th-congress/house-bill/4992,"117th Congress (2021-2022)","21 to Buy Act"
"S. 1920",https://www.congress.gov/bill/117th-congress/senate-bill/1920,"117th Congress (2021-2022)","ATF Accountability Act of 2021"
"S. 1373",https://www.congress.gov/bill/117th-congress/senate-bill/1373,"117th Congress (2021-2022)","SAME Act"
"H.R. 2890",https://www.congress.gov/bill/117th-congress/house-bill/2890,"117th Congress (2021-2022)","SAFER Voter Act"
"H.R. 1787",https://www.congress.gov/bill/117th-congress/house-bill/1787,"117th Congress (2021-2022)","Ensuring Second Amendment Freedoms are Executed Timely Act"
"H.R. 6722",https://www.congress.gov/bill/117th-congress/house-bill/6722,"117th Congress (2021-2022)","To designate the Department of Veterans Affairs community-based outpatient clinic in French Camp, California, as the ""Richard A. Pittman VA Clinic""."
"S. 2725",https://www.congress.gov/bill/117th-congress/senate-bill/2725,"117th Congress (2021-2022)","Accountability for Online Firearms Marketplaces Act of 2021"
"H.R. 7819",https://www.congress.gov/bill/117th-congress/house-bill/7819,"117th Congress (2021-2022)","Accountability for Online Firearms Marketplaces Act of 2022"
"H.Res. 820",https://www.congress.gov/bill/117th-congress/house-resolution/820,"117th Congress (2021-2022)","Expressing support for the designation of May 18 as ""National Day of Healing""."
"H.R. 1782",https://www.congress.gov/bill/117th-congress/house-bill/1782,"117th Congress (2021-2022)","Empowering Law Enforcement for Safer Firearm Transfers Act of 2021"
"H.Res. 1227",https://www.congress.gov/bill/117th-congress/house-resolution/1227,"117th Congress (2021-2022)","Urging the development of a strategy to counter the rise in violent crime across the United States."
"S.Res. 636",https://www.congress.gov/bill/117th-congress/senate-resolution/636,"117th Congress (2021-2022)","A resolution urging the development of a strategy to counter the rise in violent crime across the United States."
"H.Res. 1293",https://www.congress.gov/bill/117th-congress/house-resolution/1293,"117th Congress (2021-2022)","Recognizing and honoring Elisjsha Dicken for his demonstration of courage, self-sacrifice, and fidelity to his fellow Americans."
"H.R. 5427",https://www.congress.gov/bill/117th-congress/house-bill/5427,"117th Congress (2021-2022)","Closing the Bump Stock Loophole Act of 2021"
"S. 529",https://www.congress.gov/bill/117th-congress/senate-bill/529,"117th Congress (2021-2022)","Background Check Expansion Act"
"H.R. 6225",https://www.congress.gov/bill/117th-congress/house-bill/6225,"117th Congress (2021-2022)","Federal Firearm Licensee Act"
"H.Res. 1414",https://www.congress.gov/bill/117th-congress/house-resolution/1414,"117th Congress (2021-2022)","Expressing the sense of the House of Representatives that firearms should not be present at any Federal election site."
"H.Res. 1425",https://www.congress.gov/bill/117th-congress/house-resolution/1425,"117th Congress (2021-2022)","Supporting the goals and ideals of ""National Nonviolence Week"" to raise awareness of youth violence in the United States."
"H.Res. 715",https://www.congress.gov/bill/117th-congress/house-resolution/715,"117th Congress (2021-2022)","Supporting the goals and ideals of ""National Nonviolence Week"" to raise awareness of youth violence in the United States."
"H.R. 7904",https://www.congress.gov/bill/117th-congress/house-bill/7904,"117th Congress (2021-2022)","Multiple Firearm Sales Reporting Modernization Act of 2022"
"S. 190",https://www.congress.gov/bill/117th-congress/senate-bill/190,"117th Congress (2021-2022)","Ethan's Law"
"H.R. 6313",https://www.congress.gov/bill/117th-congress/house-bill/6313,"117th Congress (2021-2022)","To designate the Department of Veterans Affairs community-based outpatient clinic in French Camp, California, as the ""Richard A. Pittman Department of Veterans Affairs Health Care Clinic""."
"H.R. 748",https://www.congress.gov/bill/117th-congress/house-bill/748,"117th Congress (2021-2022)","Ethan's Law"
"H.R. 8741",https://www.congress.gov/bill/117th-congress/house-bill/8741,"117th Congress (2021-2022)","Firearm Industry Fairness Act"
"H.R. 8374",https://www.congress.gov/bill/117th-congress/house-bill/8374,"117th Congress (2021-2022)","Shall Not Be Infringed Act"
"H.Res. 1317",https://www.congress.gov/bill/117th-congress/house-resolution/1317,"117th Congress (2021-2022)","Expressing support for the designation of November 20, 2022, through December 20, 2022, as ""National Survivors of Homicide Victims Awareness Month""."
"H.R. 7944",https://www.congress.gov/bill/117th-congress/house-bill/7944,"117th Congress (2021-2022)","To name the Department of Veterans Affairs community-based outpatient clinic to be constructed in Toms River, New Jersey, the Leonard G. 'Bud' Lomell, Jr. VA Clinic, and for other purposes."
"H.R. 6990",https://www.congress.gov/bill/117th-congress/house-bill/6990,"117th Congress (2021-2022)","Doris Miller Congressional Gold Medal Act"
"H.R. 8740",https://www.congress.gov/bill/117th-congress/house-bill/8740,"117th Congress (2021-2022)","Firearm Industry Crime and Trafficking Accountability Act"
"S.Res. 711",https://www.congress.gov/bill/117th-congress/senate-resolution/711,"117th Congress (2021-2022)","A resolution expressing the condolences of the Senate and honoring the memory of the victims of the mass shooting at the Fourth of July parade in Highland Park, Illinois, on July 4, 2022."
"H.R. 5428",https://www.congress.gov/bill/117th-congress/house-bill/5428,"117th Congress (2021-2022)","School Shooting Safety and Preparedness Act"
"S. 2908",https://www.congress.gov/bill/117th-congress/senate-bill/2908,"117th Congress (2021-2022)","SECURE Firearm Storage Act"
"H.R. 5465",https://www.congress.gov/bill/117th-congress/house-bill/5465,"117th Congress (2021-2022)","SECURE Firearm Storage Act"
"H.R. 4139",https://www.congress.gov/bill/117th-congress/house-bill/4139,"117th Congress (2021-2022)","Lori Jackson-Nicolette Elias Domestic Violence Survivor Protection Act"
"S. 2169",https://www.congress.gov/bill/117th-congress/senate-bill/2169,"117th Congress (2021-2022)","Lori Jackson-Nicolette Elias Domestic Violence Survivor Protection Act"
"H.R. 8023",https://www.congress.gov/bill/117th-congress/house-bill/8023,"117th Congress (2021-2022)","Don Young Arctic Warrior Act"
"S. 4162",https://www.congress.gov/bill/117th-congress/senate-bill/4162,"117th Congress (2021-2022)","School Shooting Safety and Preparedness Act"
"H.R. 9441",https://www.congress.gov/bill/117th-congress/house-bill/9441,"117th Congress (2021-2022)","Identifying Mass Shooters Act"
"H.R. 225",https://www.congress.gov/bill/117th-congress/house-bill/225,"117th Congress (2021-2022)","To amend chapter 44 of title 18, United States Code, to more comprehensively address the interstate transportation of firearms or ammunition."
"S. 525",https://www.congress.gov/bill/117th-congress/senate-bill/525,"117th Congress (2021-2022)","Lawful Interstate Transportation of Firearms Act"
"H.R. 1680",https://www.congress.gov/bill/117th-congress/house-bill/1680,"117th Congress (2021-2022)","Lawful Interstate Transportation of Firearms Act"
"H.Res. 927",https://www.congress.gov/bill/117th-congress/house-resolution/927,"117th Congress (2021-2022)","Expressing the condolences of the House of Representatives and honoring the memory of the victims of the mass shooting in Aurora, Illinois, on February 15, 2019."
"H.R. 3432",https://www.congress.gov/bill/117th-congress/house-bill/3432,"117th Congress (2021-2022)","School Safety Drill Research Act of 2021"
"H.R. 7537",https://www.congress.gov/bill/117th-congress/house-bill/7537,"117th Congress (2021-2022)","Help for Healing Communities Act"
"H.R. 1446",https://www.congress.gov/bill/117th-congress/house-bill/1446,"117th Congress (2021-2022)","Enhanced Background Checks Act of 2021"
