Name,Session,Date of Introduction,Party of Sponsors,Classification,VADER Sentiment Score,TextBlob Sentiment Score
H.R. 256,110,01/05/2007,Democratic,control,-0.9973,0.025962301587301593
H.R. 3766,110,10/04/2007,Democratic,control,0.8918,0.043382352941176476
S. 2577,110,01/30/2008,Democratic,control,-0.9993,-0.00238424908424908
H.R. 1895,110,04/17/2007,Democratic,control,-0.9725,0.0
S. 3634,110,09/26/2008,Democratic,control,0.9724,0.17466666666666664
S. 77,110,01/04/2007,Democratic,control,-0.9774,0.061538461538461535
H.R. 1168,110,02/16/2007,Democratic,control,0.7717,-0.028124999999999997
H.R. 5266,110,02/07/2008,Democratic,control,-0.9634,0.11992481203007521
H.R. 7115,110,09/26/2008,Democratic,control,0.6896,-0.013501773049645366
H.R. 203,110,01/04/2007,Democratic,control,-0.9969,0.03270687645687646
H.R. 5471,110,02/14/2008,Democratic,control,0.8788,0.008578431372549022
H.R. 354,110,01/09/2007,Democratic,control,0.8282,0.06921594516594519
H.Res. 865,110,12/11/2007,Democratic,control,-0.9979,-0.005883146533831459
H.Res. 1227,110,05/22/2008,Democratic,control,-0.9954,0.13310350044221014
H.R. 6808,110,08/01/2008,Democratic,control,-0.2023,-0.0029613095238095245
H.R. 3384,110,08/03/2007,Democratic,control,0.7964,0.12380952380952381
S. 1331,110,05/08/2007,Democratic,control,0.8614,0.039197530864197506
H.R. 1874,110,04/17/2007,Democratic,control,-0.8506,1.057355261547768e-17
H.R. 529,110,01/17/2007,Democratic,control,0.988,-0.0062668463611859695
S. 368,110,01/23/2007,Democratic,control,0.987,0.1514638869902028
H.R. 6028,110,05/13/2008,Democratic,control,0.9999,7.2446741854636245e-06
H.R. 2640,110,06/11/2007,Democratic,control,0.6486,-0.10500000000000001
H.R. 2666,110,06/11/2007,Democratic,control,-0.896,-0.01194199134199135
S.Res. 302,110,08/03/2007,Democratic,control,-0.9991,0.03997402597402599
H.R. 660,110,01/24/2007,Democratic,control,0.99,0.02323792712142227
H.R. 297,110,01/05/2007,Democratic,control,-0.9979,0.013482735871434502
H.R. 808,110,02/05/2007,Democratic,control,1.0,0.084798948834853
S. 3182,110,06/23/2008,Democratic,control,0.5267,-0.0625
H.R. 4818,110,12/18/2007,Republican,control,-0.9998,0.002380952380952377
H.R. 2013,110,04/24/2007,Republican,control,0.743,0.013333333333333332
H.R. 96,110,01/04/2007,Republican,control,0.9975,0.08076765188834167
H.R. 6257,110,06/12/2008,Republican,control,0.9955,0.11486424512987006
H.Res. 1465,110,09/18/2008,Republican,control,-0.9959,0.048674242424242425
H.Con.Res. 257,110,11/13/2007,Republican,control,0.9701,0.07171266233766233
H.R. 1141,110,02/16/2007,Republican,control,0.992,0.018949275362318854
H.R. 2466,110,05/23/2007,Republican,control,-0.9997,-0.011328124999999994
H.Res. 1452,110,09/17/2008,Republican,control,0.9953,0.10423553719008262
H.R. 4900,110,12/19/2007,Republican,control,0.8182,0.02295684113865931
H.R. 3142,110,07/24/2007,Republican,control,-0.9999,-0.016708560256947367
H.R. 880,110,02/07/2007,Republican,control,-1.0,-0.02271343635267686
H.R. 3922,110,10/22/2007,Republican,control,0.9654,0.045462279239934116
S. 2084,110,09/21/2007,Democratic,control,1.0,0.042679145807637514
S. 456,110,01/31/2007,Democratic,control,-1.0,-0.01864223639528242
H.R. 3547,110,09/17/2007,Democratic,control,-1.0,-0.0193542417727201
S. 1710,110,06/27/2007,Democratic,control,1.0,0.07020260488655991
S. 3230,110,07/08/2008,Democratic,control,1.0,0.07433938916475735
H.R. 3043,110,07/13/2007,Democratic,control,1.0,0.06865758706851394
S. 328,110,01/17/2007,Democratic,control,1.0,0.045236080477206175
H.R. 3093,110,07/19/2007,Democratic,control,1.0,0.07438887598626616
