Name,Session,Date of Introduction,Party of Sponsors,Classification,VADER Sentiment Score,TextBlob Sentiment Score
H.R. 407,106,01/19/1999,Republican,rights,-0.9456,0.13527210884353744
H.Con.Res. 359,106,06/21/2000,Democratic,control,0.807,-0.05297619047619047
S.Res. 295,106,04/25/2000,Democratic,control,0.7264,-0.042777777777777776
H.R. 5031,106,07/27/2000,Democratic,control,0.9957,0.04745238095238094
S. 2810,106,06/28/2000,Democratic,control,0.9957,0.04745238095238094
S. 152,106,01/19/1999,Democratic,control,0.961,-0.004451298701298692
S. 716,106,03/25/1999,Democratic,control,-0.9991,-0.008558764886565703
H.R. 347,106,01/19/1999,Republican,rights,-0.9976,-0.018668046928916503
S. 1465,106,07/29/1999,Democratic,control,0.9993,0.05266929219997816
H.Res. 205,106,06/10/1999,Republican,control,-0.9824,0.008237133237133234
H.R. 5123,106,09/07/2000,Republican,control,-0.9914,-0.14330357142857145
S. 967,106,05/05/1999,Democratic,control,-0.128,0.0347985347985348
H.Con.Res. 421,106,10/10/2000,Republican,rights,-0.9968,0.08460497835497836
S. 149,106,01/19/1999,Democratic,control,0.988,0.0414351851851852
S.Res. 373,106,10/12/2000,Republican,rights,0.9989,0.17518486018486018
S. 1190,106,06/09/1999,Democratic,control,0.9648,-0.026190476190476177
H.Res. 147,106,04/22/1999,Democratic,control,-0.9864,-0.039705882352941174
H.R. 3144,106,10/25/1999,Democratic,control,-0.9935,0.0935285958173282
S. 1760,106,10/21/1999,Democratic,control,-0.9935,0.0935285958173282
H.Con.Res. 90,106,04/21/1999,Democratic,control,-0.9978,-0.04811594202898552
H.R. 4000,106,03/16/2000,Democratic,control,-0.9975,-0.0009303030303030361
S. 538,106,03/04/1999,Republican,control,-1.0,-0.040763779148584485
S.J.Res. 51,106,09/06/2000,Democratic,rights,0.9974,0.24344070961718028
H.R. 4141,106,03/30/2000,Republican,rights,1.0,0.08351093967760623
H.R. 4819,106,07/10/2000,Democratic,control,-0.3357,0.056207482993197284
H.R. 2025,106,06/07/1999,Democratic,control,0.9876,0.012984496124031011
H.R. 1670,106,05/04/1999,Democratic,control,0.9672,0.07162236987818382
S.Res. 163,106,07/26/1999,Democratic,control,0.9908,0.15979729729729733
H.R. 4403,106,05/09/2000,Republican,rights,0.9961,0.06124999999999999
H.R. 2421,106,07/01/1999,Democratic,control,0.9728,0.1031977513227513
S. 2525,106,05/09/2000,Democratic,control,0.1862,-0.014965986394557821
H.R. 1032,106,03/09/1999,Republican,rights,0.7706,-0.04804147465437787
H.R. 3251,106,11/08/1999,Democratic,control,0.9493,0.05047223790702053
S. 993,106,05/10/1999,Democratic,control,-0.9985,0.003753935458480907
H.R. 5094,106,07/27/2000,Republican,control,-0.9563,-0.01959107201042685
H.R. 3455,106,11/18/1999,Democratic,control,-0.9818,0.031068376068376077
