"Downloaded on",04/11/2024,"01:52:02 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%2C%22102%22%2C%22101%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction"
"S. 4238",https://www.congress.gov/bill/117th-congress/senate-bill/4238,"117th Congress (2021-2022)","Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking and Crime Prevention Act of 2022",Democratic,05/17/2022
"S. 2320",https://www.congress.gov/bill/117th-congress/senate-bill/2320,"117th Congress (2021-2022)","Keeping Gun Dealers Honest Act of 2021",Democratic,07/13/2021
"H.R. 1642",https://www.congress.gov/bill/117th-congress/house-bill/1642,"117th Congress (2021-2022)","Prosecuting Gun Crimes Saves Lives Act",Republican,03/08/2021
"S. 3117",https://www.congress.gov/bill/117th-congress/senate-bill/3117,"117th Congress (2021-2022)","Gun Violence Prevention Through Financial Intelligence Act",Democratic,10/28/2021
"H.R. 5764",https://www.congress.gov/bill/117th-congress/house-bill/5764,"117th Congress (2021-2022)","Gun Violence Prevention Through Financial Intelligence Act",Democratic,10/28/2021
"H.R. 4225",https://www.congress.gov/bill/117th-congress/house-bill/4225,"117th Congress (2021-2022)","3D Printed Gun Safety Act of 2021",Democratic,06/29/2021
"H.R. 5245",https://www.congress.gov/bill/117th-congress/house-bill/5245,"117th Congress (2021-2022)","Gun Trafficker Detection Act",Democratic,09/14/2021
"S. 2319",https://www.congress.gov/bill/117th-congress/senate-bill/2319,"117th Congress (2021-2022)","3D Printed Gun Safety Act of 2021",Democratic,07/13/2021
"H.R. 6717",https://www.congress.gov/bill/117th-congress/house-bill/6717,"117th Congress (2021-2022)","Preventing Pretrial Gun Purchases Act",Democratic,02/11/2022
"H.R. 6370",https://www.congress.gov/bill/117th-congress/house-bill/6370,"117th Congress (2021-2022)","Safe Guns, Safe Kids Act",Democratic,01/10/2022
"H.Res. 1478",https://www.congress.gov/bill/117th-congress/house-resolution/1478,"117th Congress (2021-2022)","Calling for the submission to the House of Representatives of certain information regarding the decision of the President of the United States to institute the ""Ghost Gun"" Rule.",Republican,11/16/2022
"S. 4376",https://www.congress.gov/bill/117th-congress/senate-bill/4376,"117th Congress (2021-2022)","Stop Gun Criminals Act",Republican,06/09/2022
"H.R. 545",https://www.congress.gov/bill/117th-congress/house-bill/545,"117th Congress (2021-2022)","No Congressional Gun Loophole Act",Democratic,01/28/2021
"H.R. 8278",https://www.congress.gov/bill/117th-congress/house-bill/8278,"117th Congress (2021-2022)","To direct the Attorney General to conduct a study on the efficacy of extreme risk protection orders on reducing gun violence, and for other purposes.",Democratic,07/01/2022
"H.R. 1827",https://www.congress.gov/bill/117th-congress/house-bill/1827,"117th Congress (2021-2022)","Gun Owner Registration Information Protection Act",Republican,03/11/2021
"S. 702",https://www.congress.gov/bill/117th-congress/senate-bill/702,"117th Congress (2021-2022)","Gun Owner Registration Information Protection Act",Republican,03/11/2021
"H.R. 7366",https://www.congress.gov/bill/117th-congress/house-bill/7366,"117th Congress (2021-2022)","No User Fees for Gun Owners Act",Republican,04/01/2022
"H.Res. 1192",https://www.congress.gov/bill/117th-congress/house-resolution/1192,"117th Congress (2021-2022)","Expressing support for the designation of June 21, 2022, as National ASK (Asking Saves Kids) Day to promote children's health and safe storage of guns in the home.",Democratic,06/21/2022
"H.R. 881",https://www.congress.gov/bill/117th-congress/house-bill/881,"117th Congress (2021-2022)","To require the Surgeon General of the Public Health Service to submit to Congress an annual report on the effects of gun violence on public health.",Democratic,02/05/2021
"H.R. 125",https://www.congress.gov/bill/117th-congress/house-bill/125,"117th Congress (2021-2022)","Gun Safety: Not Sorry Act of 2021",Democratic,01/04/2021
"H.R. 5436",https://www.congress.gov/bill/117th-congress/house-bill/5436,"117th Congress (2021-2022)","Gun Suicide Prevention Act",Democratic,09/30/2021
"H.R. 7466",https://www.congress.gov/bill/117th-congress/house-bill/7466,"117th Congress (2021-2022)","Traveler's Gun Rights Act",Republican,04/07/2022
"S. 4029",https://www.congress.gov/bill/117th-congress/senate-bill/4029,"117th Congress (2021-2022)","Traveler's Gun Rights Act",Republican,04/07/2022
"H.R. 6950",https://www.congress.gov/bill/117th-congress/house-bill/6950,"117th Congress (2021-2022)","No Gun Lists Act of 2022",Republican,03/07/2022
"S. 1155",https://www.congress.gov/bill/117th-congress/senate-bill/1155,"117th Congress (2021-2022)","Virginia Plan to Reduce Gun Violence Act of 2021",Democratic,04/15/2021
"H.Res. 1479",https://www.congress.gov/bill/117th-congress/house-resolution/1479,"117th Congress (2021-2022)","Of inquiry requesting the President transmit certain documents in his possession to the House of Representatives relating to the surveillance or monitoring of pro-gun, pro-life, or conservative groups under the Internet Covert Operations Program operated by the United States Postal Inspection Service.",Republican,11/16/2022
"H.R. 1132",https://www.congress.gov/bill/117th-congress/house-bill/1132,"117th Congress (2021-2022)","Gun Owner Privacy Act",Republican,02/18/2021
"H.R. 9001",https://www.congress.gov/bill/117th-congress/house-bill/9001,"117th Congress (2021-2022)","Reduce Gun Violence Act of 2022",Republican,09/28/2022
"S. 4149",https://www.congress.gov/bill/117th-congress/senate-bill/4149,"117th Congress (2021-2022)","Preventing Pretrial Gun Purchases Act",Democratic,05/05/2022
"H.R. 3536",https://www.congress.gov/bill/117th-congress/house-bill/3536,"117th Congress (2021-2022)","Crime Gun Tracing Modernization Act of 2021",Democratic,05/25/2021
"S. 1801",https://www.congress.gov/bill/117th-congress/senate-bill/1801,"117th Congress (2021-2022)","Crime Gun Tracing Modernization Act of 2021",Democratic,05/25/2021
"H.R. 8534",https://www.congress.gov/bill/117th-congress/house-bill/8534,"117th Congress (2021-2022)","Responsible Gun Ownership Licensing Act",Democratic,07/27/2022
"H.R. 7493",https://www.congress.gov/bill/117th-congress/house-bill/7493,"117th Congress (2021-2022)","Protecting Gun Owners in Bankruptcy Act of 2022",Republican,04/11/2022
"H.R. 5878",https://www.congress.gov/bill/117th-congress/house-bill/5878,"117th Congress (2021-2022)","End Gun Violence Act of 2021",Democratic,11/04/2021
"H.R. 6817",https://www.congress.gov/bill/117th-congress/house-bill/6817,"117th Congress (2021-2022)","No Backdoor Gun Control Act of 2022",Republican,02/22/2022
"H.R. 3509",https://www.congress.gov/bill/117th-congress/house-bill/3509,"117th Congress (2021-2022)","Safe Gun Storage Act of 2021",Democratic,05/25/2021
"S. 1825",https://www.congress.gov/bill/117th-congress/senate-bill/1825,"117th Congress (2021-2022)","Safe Gun Storage Act of 2021",Democratic,05/25/2021
"H.R. 4804",https://www.congress.gov/bill/117th-congress/house-bill/4804,"117th Congress (2021-2022)","Unlawful Gun Buyer Alert Act",Democratic,07/29/2021
"H.R. 882",https://www.congress.gov/bill/117th-congress/house-bill/882,"117th Congress (2021-2022)","Keeping Guns from High-Risk Individuals Act",Democratic,02/05/2021
"H.R. 6945",https://www.congress.gov/bill/117th-congress/house-bill/6945,"117th Congress (2021-2022)","No Retaining Every Gun In a System That Restricts Your Rights Act",Republican,03/07/2022
"H.Res. 1153",https://www.congress.gov/bill/117th-congress/house-resolution/1153,"117th Congress (2021-2022)","Providing for consideration of the bill (H.R. 2377) to authorize the issuance of extreme risk protection orders; providing for consideration of the bill (H.R. 7910) to amend title 18, United States Code, to provide for an increased age limit on the purchase of certain firearms, prevent gun trafficking, modernize the prohibition on untraceable firearms, encourage the safe storage of firearms, and for other purposes; and for other purposes.",Democratic,06/07/2022
"H.R. 30",https://www.congress.gov/bill/117th-congress/house-bill/30,"117th Congress (2021-2022)","Gun Trafficking Prohibition Act",Democratic,01/04/2021
"H.R. 1441",https://www.congress.gov/bill/117th-congress/house-bill/1441,"117th Congress (2021-2022)","No Guns for Abusers Act of 2021",Democratic,02/26/2021
"H.Res. 388",https://www.congress.gov/bill/117th-congress/house-resolution/388,"117th Congress (2021-2022)","Expressing the sense of the House of Representatives that President Biden's gun policies are unconstitutional and should never be approved.",Republican,05/12/2021
"H.R. 7973",https://www.congress.gov/bill/117th-congress/house-bill/7973,"117th Congress (2021-2022)","Firearm Training and Proficiency Act",Republican,06/07/2022
"H.R. 3143",https://www.congress.gov/bill/117th-congress/house-bill/3143,"117th Congress (2021-2022)","Buyback Our Safety Act",Democratic,05/12/2021
"S. 788",https://www.congress.gov/bill/117th-congress/senate-bill/788,"117th Congress (2021-2022)","Firearms Safety Act",Republican,03/17/2021
"H.R. 8871",https://www.congress.gov/bill/117th-congress/house-bill/8871,"117th Congress (2021-2022)","SAFES Act",Democratic,09/15/2022
"H.R. 7910",https://www.congress.gov/bill/117th-congress/house-bill/7910,"117th Congress (2021-2022)","Protecting Our Kids Act",Democratic,05/31/2022
"H.R. 1534",https://www.congress.gov/bill/117th-congress/house-bill/1534,"117th Congress (2021-2022)","Protecting the Right to Keep and Bear Arms Act of 2021",Republican,03/03/2021
"H.R. 2830",https://www.congress.gov/bill/117th-congress/house-bill/2830,"117th Congress (2021-2022)","GRAM Act",Republican,04/22/2021
"S. 1916",https://www.congress.gov/bill/117th-congress/senate-bill/1916,"117th Congress (2021-2022)","Protecting the Right To Keep and Bear Arms Act of 2021",Republican,05/27/2021
"H.R. 3299",https://www.congress.gov/bill/117th-congress/house-bill/3299,"117th Congress (2021-2022)","Protecting Our Communities Act",Democratic,05/18/2021
"H.R. 3252",https://www.congress.gov/bill/117th-congress/house-bill/3252,"117th Congress (2021-2022)","Federal Firearms Licensee Protection Act",Democratic,05/14/2021
"H.R. 8460",https://www.congress.gov/bill/117th-congress/house-bill/8460,"117th Congress (2021-2022)","AIM Act",Democratic,07/21/2022
"S. 4582",https://www.congress.gov/bill/117th-congress/senate-bill/4582,"117th Congress (2021-2022)","AIM Act of 2022",Democratic,07/21/2022
"H.R. 647",https://www.congress.gov/bill/117th-congress/house-bill/647,"117th Congress (2021-2022)","Closing the Loophole on Interstate Firearm Sales Act",Democratic,02/01/2021
"H.R. 993",https://www.congress.gov/bill/117th-congress/house-bill/993,"117th Congress (2021-2022)","Second Amendment Preservation Act",Republican,02/11/2021
"H.R. 7415",https://www.congress.gov/bill/117th-congress/house-bill/7415,"117th Congress (2021-2022)","Safe Students Act",Republican,04/06/2022
"S. 1558",https://www.congress.gov/bill/117th-congress/senate-bill/1558,"117th Congress (2021-2022)","Untraceable Firearms Act of 2021",Democratic,05/11/2021
"H.R. 3088",https://www.congress.gov/bill/117th-congress/house-bill/3088,"117th Congress (2021-2022)","Untraceable Firearms Act of 2021",Democratic,05/11/2021
"H.R. 5678",https://www.congress.gov/bill/117th-congress/house-bill/5678,"117th Congress (2021-2022)","Firearms Retailer Code of Conduct Act of 2021",Democratic,10/22/2021
"H.R. 4836",https://www.congress.gov/bill/117th-congress/house-bill/4836,"117th Congress (2021-2022)","Firearm Owners Responsibility and Safety Act",Democratic,07/29/2021
"H.R. 1494",https://www.congress.gov/bill/117th-congress/house-bill/1494,"117th Congress (2021-2022)","Zero Tolerance for Domestic Abusers Act",Democratic,03/02/2021
"H.R. 4888",https://www.congress.gov/bill/117th-congress/house-bill/4888,"117th Congress (2021-2022)","Local Public Health And Safety Protection Act",Democratic,07/30/2021
"H.R. 3096",https://www.congress.gov/bill/117th-congress/house-bill/3096,"117th Congress (2021-2022)","Federal Law Enforcement Officer Service Weapon Purchase Act",Democratic,05/11/2021
"H.Res. 275",https://www.congress.gov/bill/117th-congress/house-resolution/275,"117th Congress (2021-2022)","Condemning the horrific shootings in Atlanta, Georgia, on March 16, 2021, and reaffirming the House of Representative’s commitment to combating hate, bigotry, and violence against the Asian-American and Pacific Islander community.",Democratic,03/26/2021
"S. 527",https://www.congress.gov/bill/117th-congress/senate-bill/527,"117th Congress (2021-2022)","Protecting Domestic Violence and Stalking Victims Act of 2021",Democratic,03/02/2021
"H.R. 2427",https://www.congress.gov/bill/117th-congress/house-bill/2427,"117th Congress (2021-2022)","NFA Modernization Act of 2021",Democratic,04/08/2021
"S.Res. 199",https://www.congress.gov/bill/117th-congress/senate-resolution/199,"117th Congress (2021-2022)","A resolution condemning the horrific shootings in Atlanta, Georgia, on March 16, 2021, and reaffirming the commitment of the Senate to combating hate, bigotry, and violence against the Asian American and Pacific Islander community.",Democratic,04/29/2021
"H.R. 7859",https://www.congress.gov/bill/117th-congress/house-bill/7859,"117th Congress (2021-2022)","PREP for All Students Act of 2022",Democratic,05/19/2022
"S. 4259",https://www.congress.gov/bill/117th-congress/senate-bill/4259,"117th Congress (2021-2022)","PREP for All Students Act of 2022",Democratic,05/19/2022
"H.R. 8",https://www.congress.gov/bill/117th-congress/house-bill/8,"117th Congress (2021-2022)","Bipartisan Background Checks Act of 2021",Democratic,03/01/2021
"H.R. 1952",https://www.congress.gov/bill/117th-congress/house-bill/1952,"117th Congress (2021-2022)","Stopping the Iron Pipeline Act of 2021",Democratic,03/16/2021
"H.R. 1808",https://www.congress.gov/bill/117th-congress/house-bill/1808,"117th Congress (2021-2022)","Assault Weapons Ban of 2022",Democratic,03/11/2021
"H.R. 8997",https://www.congress.gov/bill/117th-congress/house-bill/8997,"117th Congress (2021-2022)","No SmartPay for Anti-2A Companies Act",Republican,09/28/2022
"S.Res. 140",https://www.congress.gov/bill/117th-congress/senate-resolution/140,"117th Congress (2021-2022)","A resolution condemning the horrific shootings in Atlanta, Georgia, on March 16, 2021, and reaffirming the commitment of the Senate to combating hate, bigotry, and violence against the Asian-American and Pacific Islander community.",Democratic,03/25/2021
"H.Res. 981",https://www.congress.gov/bill/117th-congress/house-resolution/981,"117th Congress (2021-2022)","Commemorating the 1-year anniversary of the March 16, 2021, shootings in Atlanta, Georgia, and denouncing anti-Asian hate.",Democratic,03/15/2022
