"Downloaded on",04/11/2024,"01:52:02 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%2C%22102%22%2C%22101%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction"
"S. 3304",https://www.congress.gov/bill/115th-congress/senate-bill/3304,"115th Congress (2017-2018)","3D Printed Gun Safety Act of 2018",Democratic,07/31/2018
"H.R. 4268",https://www.congress.gov/bill/115th-congress/house-bill/4268,"115th Congress (2017-2018)","Gun Safety: Not Sorry Act of 2017",Democratic,11/07/2017
"H.Con.Res. 66",https://www.congress.gov/bill/115th-congress/house-concurrent-resolution/66,"115th Congress (2017-2018)","Expressing support for the designation of June 21 as National ASK (Asking Saves Kids) Day to promote children's health and gun safety.",Democratic,06/26/2017
"H.R. 3984",https://www.congress.gov/bill/115th-congress/house-bill/3984,"115th Congress (2017-2018)","Equal Access to Justice for Victims of Gun Violence Act",Democratic,10/05/2017
"H.Con.Res. 125",https://www.congress.gov/bill/115th-congress/house-concurrent-resolution/125,"115th Congress (2017-2018)","Expressing support for the designation of June 21 as National ASK (Asking Saves Kids) Day to promote children's health and safe storage of guns in the home.",Democratic,06/21/2018
"S. 3135",https://www.congress.gov/bill/115th-congress/senate-bill/3135,"115th Congress (2017-2018)","Gun Owner Registration Information Protection Act",Republican,06/26/2018
"H.R. 1832",https://www.congress.gov/bill/115th-congress/house-bill/1832,"115th Congress (2017-2018)","To authorize the appropriation of funds to the Centers for Disease Control and Prevention for conducting or supporting research on firearms safety or gun violence prevention.",Democratic,03/30/2017
"H.R. 5161",https://www.congress.gov/bill/115th-congress/house-bill/5161,"115th Congress (2017-2018)","To require the Surgeon General of the Public Health Service to submit to Congress an annual report on the effects of gun violence on public health.",Democratic,03/05/2018
"S. 834",https://www.congress.gov/bill/115th-congress/senate-bill/834,"115th Congress (2017-2018)","A bill to authorize the appropriation of funds to the Centers for Disease Control and Prevention for conducting or supporting research on firearms safety or gun violence prevention.",Democratic,04/05/2017
"H.Con.Res. 127",https://www.congress.gov/bill/115th-congress/house-concurrent-resolution/127,"115th Congress (2017-2018)","Condemning gun violence and its impact on youth by supporting the enactment of legislation to prevent future school and neighborhood shootings.",Democratic,06/28/2018
"S. 1939",https://www.congress.gov/bill/115th-congress/senate-bill/1939,"115th Congress (2017-2018)","Equal Access to Justice for Victims of Gun Violence Act",Democratic,10/05/2017
"H.R. 163",https://www.congress.gov/bill/115th-congress/house-bill/163,"115th Congress (2017-2018)","Gun Manufacturers Accountability Act",Democratic,01/03/2017
"H.R. 5103",https://www.congress.gov/bill/115th-congress/house-bill/5103,"115th Congress (2017-2018)","Gun Violence Prevention and Safe Communities Act of 2018",Democratic,02/27/2018
"H.R. 5106",https://www.congress.gov/bill/115th-congress/house-bill/5106,"115th Congress (2017-2018)","Investor Choice Against Gun Proliferation Act",Democratic,02/27/2018
"S. 2974",https://www.congress.gov/bill/115th-congress/senate-bill/2974,"115th Congress (2017-2018)","Crime Gun Tracing Modernization Act",Democratic,05/24/2018
"H.R. 7219",https://www.congress.gov/bill/115th-congress/house-bill/7219,"115th Congress (2017-2018)","No Guns for Terrorists Act of 2018",Democratic,12/06/2018
"H.R. 2980",https://www.congress.gov/bill/115th-congress/house-bill/2980,"115th Congress (2017-2018)","Protecting Gun Owners in Bankruptcy Act of 2017",Republican,06/21/2017
"H.R. 7274",https://www.congress.gov/bill/115th-congress/house-bill/7274,"115th Congress (2017-2018)","Keeping Guns From Criminals Act",Democratic,12/12/2018
"H.R. 4192",https://www.congress.gov/bill/115th-congress/house-bill/4192,"115th Congress (2017-2018)","Domestic Violence Gun Homicide Prevention Act of 2017",Democratic,10/31/2017
"S. 2045",https://www.congress.gov/bill/115th-congress/senate-bill/2045,"115th Congress (2017-2018)","Domestic Violence Gun Homicide Prevention Act of 2017",Democratic,10/31/2017
"H.Res. 666",https://www.congress.gov/bill/115th-congress/house-resolution/666,"115th Congress (2017-2018)","Amending the Rules of the House of Representatives to observe a 60-second moment of silence in the House for those killed by gun violence in the United States on the next legislative day after any such individual dies.",Democratic,12/15/2017
"H.Res. 370",https://www.congress.gov/bill/115th-congress/house-resolution/370,"115th Congress (2017-2018)","Amending the Rules of the House of Representatives to require that a standing committee (or subcommittee thereof) hearing be held whenever there is a moment of silence in the House for a tragedy involving gun violence.",Democratic,05/26/2017
"H.R. 4343",https://www.congress.gov/bill/115th-congress/house-bill/4343,"115th Congress (2017-2018)","Unlawful Gun Buyer Alert Act",Democratic,11/09/2017
"H.R. 1079",https://www.congress.gov/bill/115th-congress/house-bill/1079,"115th Congress (2017-2018)","Campus Gun Policy Transparency Act",Democratic,02/15/2017
"H.R. 5163",https://www.congress.gov/bill/115th-congress/house-bill/5163,"115th Congress (2017-2018)","Keeping Guns from High-Risk Individuals Act",Democratic,03/05/2018
"H.R. 6629",https://www.congress.gov/bill/115th-congress/house-bill/6629,"115th Congress (2017-2018)","No Guns for Abusers Act of 2018",Democratic,07/26/2018
"H.Res. 1076",https://www.congress.gov/bill/115th-congress/house-resolution/1076,"115th Congress (2017-2018)","Encouraging the House of Representatives to pass laws to prevent gun violence.",Democratic,09/25/2018
"H.R. 445",https://www.congress.gov/bill/115th-congress/house-bill/445,"115th Congress (2017-2018)","Buyback Our Safety Act",Democratic,01/11/2017
"H.R. 6109",https://www.congress.gov/bill/115th-congress/house-bill/6109,"115th Congress (2017-2018)","SAFETY Act",Democratic,06/14/2018
"H.R. 5164",https://www.congress.gov/bill/115th-congress/house-bill/5164,"115th Congress (2017-2018)","Urban Progress Act of 2018",Democratic,03/05/2018
"H.R. 3790",https://www.congress.gov/bill/115th-congress/house-bill/3790,"115th Congress (2017-2018)","Federal Firearms Licensee Protection Act",Republican,09/14/2017
"H.R. 4168",https://www.congress.gov/bill/115th-congress/house-bill/4168,"115th Congress (2017-2018)","Closing the Bump-Stock Loophole Act",Republican,10/31/2017
"H.R. 5088",https://www.congress.gov/bill/115th-congress/house-bill/5088,"115th Congress (2017-2018)","No MAGA Act",Democratic,02/26/2018
"S. 3300",https://www.congress.gov/bill/115th-congress/senate-bill/3300,"115th Congress (2017-2018)","Untraceable Firearms Act of 2018",Democratic,07/31/2018
"H.R. 6643",https://www.congress.gov/bill/115th-congress/house-bill/6643,"115th Congress (2017-2018)","Untraceable Firearms Act of 2018",Democratic,07/31/2018
"H.R. 5410",https://www.congress.gov/bill/115th-congress/house-bill/5410,"115th Congress (2017-2018)","SAFER Now Act",Democratic,03/26/2018
"H.R. 34",https://www.congress.gov/bill/115th-congress/house-bill/34,"115th Congress (2017-2018)","Safe Students Act",Republican,01/03/2017
"S. 2486",https://www.congress.gov/bill/115th-congress/senate-bill/2486,"115th Congress (2017-2018)","Safe Students Act",Republican,03/01/2018
"H.R. 3207",https://www.congress.gov/bill/115th-congress/house-bill/3207,"115th Congress (2017-2018)","Zero Tolerance for Domestic Abusers Act",Democratic,07/12/2017
"H.R. 367",https://www.congress.gov/bill/115th-congress/house-bill/367,"115th Congress (2017-2018)","Hearing Protection Act of 2017",Republican,01/09/2017
"S. 59",https://www.congress.gov/bill/115th-congress/senate-bill/59,"115th Congress (2017-2018)","Hearing Protection Act of 2017",Republican,01/09/2017
"S. 1539",https://www.congress.gov/bill/115th-congress/senate-bill/1539,"115th Congress (2017-2018)","Protecting Domestic Violence and Stalking Victims Act of 2017",Democratic,07/12/2017
"H.R. 4142",https://www.congress.gov/bill/115th-congress/house-bill/4142,"115th Congress (2017-2018)","Safer Communities Act of 2017",Democratic,10/26/2017
"H.R. 4240",https://www.congress.gov/bill/115th-congress/house-bill/4240,"115th Congress (2017-2018)","Public Safety and Second Amendment Rights Protection Act of 2017",Democratic,11/03/2017
"H.R. 5077",https://www.congress.gov/bill/115th-congress/house-bill/5077,"115th Congress (2017-2018)","Assault Weapons Ban of 2018",Democratic,02/20/2018
"S. 2095",https://www.congress.gov/bill/115th-congress/senate-bill/2095,"115th Congress (2017-2018)","Assault Weapons Ban of 2017",Democratic,11/08/2017
"H.R. 6297",https://www.congress.gov/bill/115th-congress/house-bill/6297,"115th Congress (2017-2018)","Assault Weapons Ban and Regulatory Reform Act of 2018",Democratic,06/28/2018
"H.R. 5087",https://www.congress.gov/bill/115th-congress/house-bill/5087,"115th Congress (2017-2018)","Assault Weapons Ban of 2018",Democratic,02/26/2018
"S. 2607",https://www.congress.gov/bill/115th-congress/senate-bill/2607,"115th Congress (2017-2018)","Extreme Risk Protection Order and Violence Prevention Act of 2018",Republican,03/22/2018
"H.R. 3986",https://www.congress.gov/bill/115th-congress/house-bill/3986,"115th Congress (2017-2018)","Stopping the Iron Pipeline Act of 2017",Democratic,10/05/2017
"S. 162",https://www.congress.gov/bill/115th-congress/senate-bill/162,"115th Congress (2017-2018)","Second Amendment Enforcement Act of 2017",Republican,01/17/2017
"H.R. 1537",https://www.congress.gov/bill/115th-congress/house-bill/1537,"115th Congress (2017-2018)","Second Amendment Enforcement Act of 2017",Republican,03/15/2017
"S. 2502",https://www.congress.gov/bill/115th-congress/senate-bill/2502,"115th Congress (2017-2018)","Protecting Communities and Preserving the Second Amendment Act of 2018",Republican,03/06/2018
"H.R. 57",https://www.congress.gov/bill/115th-congress/house-bill/57,"115th Congress (2017-2018)","Accidental Firearms Transfers Reporting Act of 2017",Democratic,01/03/2017
"S. 1397",https://www.congress.gov/bill/115th-congress/senate-bill/1397,"115th Congress (2017-2018)","Protecting the Second Amendment Act",Republican,06/21/2017
"H.R. 1976",https://www.congress.gov/bill/115th-congress/house-bill/1976,"115th Congress (2017-2018)","Protecting the Second Amendment Act",Republican,04/06/2017
"H.R. 5134",https://www.congress.gov/bill/115th-congress/house-bill/5134,"115th Congress (2017-2018)","STOP Straw Purchases Act",Republican,03/01/2018
"S. 1923",https://www.congress.gov/bill/115th-congress/senate-bill/1923,"115th Congress (2017-2018)","Background Check Completion Act of 2017",Democratic,10/05/2017
"H.R. 1498",https://www.congress.gov/bill/115th-congress/house-bill/1498,"115th Congress (2017-2018)","End Racial Profiling Act of 2017",Democratic,03/10/2017
"H.R. 3464",https://www.congress.gov/bill/115th-congress/house-bill/3464,"115th Congress (2017-2018)","Background Check Completion Act of 2017",Democratic,07/27/2017
"S. 411",https://www.congress.gov/bill/115th-congress/senate-bill/411,"115th Congress (2017-2018)",ERRPA,Democratic,02/16/2017
"S. 72",https://www.congress.gov/bill/115th-congress/senate-bill/72,"115th Congress (2017-2018)","Counterterror Alert Act of 2017",Democratic,01/09/2017
"H.R. 5398",https://www.congress.gov/bill/115th-congress/house-bill/5398,"115th Congress (2017-2018)","21 to Buy Act",Democratic,03/22/2018
"H.R. 5271",https://www.congress.gov/bill/115th-congress/house-bill/5271,"115th Congress (2017-2018)","Tiahrt Restrictions Repeal Act",Democratic,03/14/2018
"S. 2150",https://www.congress.gov/bill/115th-congress/senate-bill/2150,"115th Congress (2017-2018)","Imitation Firearms Safety Act of 2017",Democratic,11/16/2017
"S. 2546",https://www.congress.gov/bill/115th-congress/senate-bill/2546,"115th Congress (2017-2018)","MASS Act",Democratic,03/14/2018
"H.R. 3249",https://www.congress.gov/bill/115th-congress/house-bill/3249,"115th Congress (2017-2018)","Project Safe Neighborhoods Grant Program Authorization Act of 2018",Republican,07/14/2017
"S. 2009",https://www.congress.gov/bill/115th-congress/senate-bill/2009,"115th Congress (2017-2018)","Background Check Expansion Act",Democratic,10/25/2017
"H.R. 6624",https://www.congress.gov/bill/115th-congress/house-bill/6624,"115th Congress (2017-2018)","Firearms Interstate Commerce Reform Act",Republican,07/26/2018
"S.Res. 720",https://www.congress.gov/bill/115th-congress/senate-resolution/720,"115th Congress (2017-2018)","A resolution expressing the condolences of the Senate and honoring the memory of the victims of the shooting at Mercy Hospital and Medical Center in Chicago, Illinois, on November 19, 2018.",Democratic,12/11/2018
"H.Res. 1171",https://www.congress.gov/bill/115th-congress/house-resolution/1171,"115th Congress (2017-2018)","Expressing the condolences of the House of Representatives and honoring the memory of the victims of the shooting at Mercy Hospital and Medical Center in Chicago, Illinois, on November 19, 2018.",Democratic,12/06/2018
"H.Res. 615",https://www.congress.gov/bill/115th-congress/house-resolution/615,"115th Congress (2017-2018)","Designating the Democratic Cloakroom in the Hall of the House of Representatives as the ""Gabrielle Giffords-Leo J. Ryan Cloakroom"".",Democratic,11/13/2017
"H.R. 5380",https://www.congress.gov/bill/115th-congress/house-bill/5380,"115th Congress (2017-2018)","Securing Our Children Act of 2018",Republican,03/22/2018
"S. 1992",https://www.congress.gov/bill/115th-congress/senate-bill/1992,"115th Congress (2017-2018)","SECURE Firearm Storage Act",Democratic,10/19/2017
"H.R. 5383",https://www.congress.gov/bill/115th-congress/house-bill/5383,"115th Congress (2017-2018)","Ammunition Background Check Act of 2018",Democratic,03/22/2018
"H.R. 5112",https://www.congress.gov/bill/115th-congress/house-bill/5112,"115th Congress (2017-2018)","Second Amendment For Every Registrable Voter Act",Republican,02/27/2018
"S. 159",https://www.congress.gov/bill/115th-congress/senate-bill/159,"115th Congress (2017-2018)","Firearms Manufacturers and Dealers Protection Act of 2017",Republican,01/17/2017
"S. 2703",https://www.congress.gov/bill/115th-congress/senate-bill/2703,"115th Congress (2017-2018)","Project Safe Neighborhoods Grant Program Authorization Act of 2018",Republican,04/18/2018
"S.Res. 345",https://www.congress.gov/bill/115th-congress/senate-resolution/345,"115th Congress (2017-2018)","A resolution designating August 3, 2018, as ""National Ernie Pyle Day"".",Republican,11/30/2017
"S. 1916",https://www.congress.gov/bill/115th-congress/senate-bill/1916,"115th Congress (2017-2018)","Automatic Gunfire Prevention Act",Democratic,10/04/2017
"H.R. 5090",https://www.congress.gov/bill/115th-congress/house-bill/5090,"115th Congress (2017-2018)","Raise the Age Act",Democratic,02/26/2018
"H.R. 3947",https://www.congress.gov/bill/115th-congress/house-bill/3947,"115th Congress (2017-2018)","Automatic Gunfire Prevention Act",Democratic,10/04/2017
"H.R. 5490",https://www.congress.gov/bill/115th-congress/house-bill/5490,"115th Congress (2017-2018)","Handgun Purchaser Licensing Act",Democratic,04/12/2018
"S. 618",https://www.congress.gov/bill/115th-congress/senate-bill/618,"115th Congress (2017-2018)","Lawful Interstate Transportation of Firearms Act",Republican,03/14/2017
"H.R. 358",https://www.congress.gov/bill/115th-congress/house-bill/358,"115th Congress (2017-2018)","To amend chapter 44 of title 18, United States Code, to more comprehensively address the interstate transportation of firearms or ammunition.",Republican,01/06/2017
"H.Con.Res. 41",https://www.congress.gov/bill/115th-congress/house-concurrent-resolution/41,"115th Congress (2017-2018)","Commemorating the 100th anniversary of the United States declaration of war against Germany and entry into World War I and recognizing and appreciating the lasting historical significance and heroic human endeavor and sacrifice of the United States Armed Forces in that conflict.",Republican,03/29/2017
"H.R. 3361",https://www.congress.gov/bill/115th-congress/house-bill/3361,"115th Congress (2017-2018)","SECURE Firearm Storage Act",Democratic,07/24/2017
"S. 394",https://www.congress.gov/bill/115th-congress/senate-bill/394,"115th Congress (2017-2018)","Protect Our Military Families' 2nd Amendment Rights Act",Republican,02/15/2017
"H.R. 256",https://www.congress.gov/bill/115th-congress/house-bill/256,"115th Congress (2017-2018)","Protect Our Military Families' 2nd Amendment Rights Act",Republican,01/04/2017
"H.Res. 755",https://www.congress.gov/bill/115th-congress/house-resolution/755,"115th Congress (2017-2018)","Original Black History Month Resolution of 2018",Democratic,02/27/2018
"H.R. 1692",https://www.congress.gov/bill/115th-congress/house-bill/1692,"115th Congress (2017-2018)","Countering Illegal Firearms Trafficking to Mexico Act",Democratic,03/22/2017
"H.R. 7035",https://www.congress.gov/bill/115th-congress/house-bill/7035,"115th Congress (2017-2018)","National Strategy To Increase Life Expectancy Act of 2018",Democratic,10/05/2018
"H.R. 6747",https://www.congress.gov/bill/115th-congress/house-bill/6747,"115th Congress (2017-2018)","Protecting Our Communities and Rights Act of 2018",Republican,09/07/2018
"H.R. 3999",https://www.congress.gov/bill/115th-congress/house-bill/3999,"115th Congress (2017-2018)","To amend title 18, United States Code, to prohibit the manufacture, possession, or transfer of any part or combination of parts that is designed and functions to increase the rate of fire of a semiautomatic rifle but does not convert the semiautomatic rifle into a machinegun, and for other purposes.",Republican,10/10/2017
"H.R. 6798",https://www.congress.gov/bill/115th-congress/house-bill/6798,"115th Congress (2017-2018)","Make Schools Safer Act",Republican,09/13/2018
"H.Res. 648",https://www.congress.gov/bill/115th-congress/house-resolution/648,"115th Congress (2017-2018)","Expressing support for the designation of August 3, 2018, as ""National Ernie Pyle Day"".",Republican,12/07/2017
"S.J.Res. 67",https://www.congress.gov/bill/115th-congress/senate-joint-resolution/67,"115th Congress (2017-2018)","A joint resolution relating to the disapproval of the proposed export to the Government of Egypt of certain defense articles and services.",Republican,11/29/2018
"S. 3166",https://www.congress.gov/bill/115th-congress/senate-bill/3166,"115th Congress (2017-2018)","United States Army Rangers Veterans of World War II Congressional Gold Medal Act",Republican,06/28/2018
"H.R. 6263",https://www.congress.gov/bill/115th-congress/house-bill/6263,"115th Congress (2017-2018)","United States Army Rangers Veterans of World War II Congressional Gold Medal Act",Republican,06/28/2018
"H.R. 6630",https://www.congress.gov/bill/115th-congress/house-bill/6630,"115th Congress (2017-2018)","Maria Butina NRA Transparency Act",Democratic,07/26/2018
"H.R. 6691",https://www.congress.gov/bill/115th-congress/house-bill/6691,"115th Congress (2017-2018)","Community Safety and Security Act of 2018",Republican,08/31/2018
"S.Res. 730",https://www.congress.gov/bill/115th-congress/senate-resolution/730,"115th Congress (2017-2018)","A resolution condemning the tragic mass shooting in Thousand Oaks, California, supporting all of the people impacted by the horrific event, and thanking law enforcement, firefighters, and emergency medical teams for their courageous efforts to respond to the attack and save lives.",Democratic,12/13/2018
"H.R. 4153",https://www.congress.gov/bill/115th-congress/house-bill/4153,"115th Congress (2017-2018)","Federal Law Enforcement and Public Protection Act",Democratic,10/26/2017
"S.Res. 745",https://www.congress.gov/bill/115th-congress/senate-resolution/745,"115th Congress (2017-2018)","A resolution commemorating the 100th anniversary of the Armistice Agreement, the 100th anniversary of the return of the Unknown Solider, and the 100th anniversary of the Tomb of the Unknown Solider.",Republican,01/02/2019
"S. 2662",https://www.congress.gov/bill/115th-congress/senate-bill/2662,"115th Congress (2017-2018)","Handgun Purchaser Licensing Act",Democratic,04/12/2018
"H.Res. 1094",https://www.congress.gov/bill/115th-congress/house-resolution/1094,"115th Congress (2017-2018)","Commemorating the 100th anniversary of the Armistice Agreement, the 100th anniversary of the return of the Unknown Soldier, and the 100th anniversary of the Tomb of the Unknown Soldier.",Democratic,09/27/2018
"H.R. 1111",https://www.congress.gov/bill/115th-congress/house-bill/1111,"115th Congress (2017-2018)","Department of Peacebuilding Act of 2017",Democratic,02/16/2017
"H.Res. 1090",https://www.congress.gov/bill/115th-congress/house-resolution/1090,"115th Congress (2017-2018)","Expressing the sense of the House of Representatives to encourage consensus and increase accountability and transparency, and for other purposes.",Republican,09/27/2018
"H.R. 7103",https://www.congress.gov/bill/115th-congress/house-bill/7103,"115th Congress (2017-2018)","Suicide Prevention Analytics Act of 2018",Democratic,10/30/2018
"H.R. 5332",https://www.congress.gov/bill/115th-congress/house-bill/5332,"115th Congress (2017-2018)","Student and Teacher Safety Act of 2018",Republican,03/19/2018
"H.R. 124",https://www.congress.gov/bill/115th-congress/house-bill/124,"115th Congress (2017-2018)","CAM TIP Act of 2017",Democratic,01/03/2017
"H.R. 1142",https://www.congress.gov/bill/115th-congress/house-bill/1142,"115th Congress (2017-2018)","Master Sergeant Roddie Edmonds Congressional Gold Medal Act",Republican,02/16/2017
"S. 352",https://www.congress.gov/bill/115th-congress/senate-bill/352,"115th Congress (2017-2018)","Master Sergeant Roddie Edmonds Congressional Gold Medal Act",Republican,02/13/2017
"S. 2627",https://www.congress.gov/bill/115th-congress/senate-bill/2627,"115th Congress (2017-2018)","Ammunition Background Check Act of 2018",Democratic,03/22/2018
"H.R. 2620",https://www.congress.gov/bill/115th-congress/house-bill/2620,"115th Congress (2017-2018)","Lawful Purpose and Self Defense Act",Republican,05/24/2017
"H.R. 3578",https://www.congress.gov/bill/115th-congress/house-bill/3578,"115th Congress (2017-2018)","Expungement Act of 2017",Democratic,07/28/2017
"S.Res. 460",https://www.congress.gov/bill/115th-congress/senate-resolution/460,"115th Congress (2017-2018)","A resolution condemning Boko Haram and calling on the Governments of the United States of America and Nigeria to swiftly implement measures to defeat the terrorist organization.",Democratic,04/12/2018
"H.Res. 896",https://www.congress.gov/bill/115th-congress/house-resolution/896,"115th Congress (2017-2018)","Condemning Boko Haram and calling on the Governments of the United States of America and Nigeria to swiftly implement measures to defeat the terrorist organization.",Democratic,05/15/2018
"S.Res. 354",https://www.congress.gov/bill/115th-congress/senate-resolution/354,"115th Congress (2017-2018)","A resolution expressing the sense of the Senate regarding the courageous work and life of Argentinian prosecutor Alberto Nisman, and calling for a swift and transparent investigation into his tragic death in Buenos Aires on January 18, 2015.",Republican,12/07/2017
"H.Res. 704",https://www.congress.gov/bill/115th-congress/house-resolution/704,"115th Congress (2017-2018)","Expressing the sense of the House of Representatives regarding the courageous work and life of Argentine prosecutor Alberto Nisman, and calling for a swift and transparent investigation into his tragic death in Buenos Aires on January 18, 2015.",Democratic,01/18/2018
"S. 1435",https://www.congress.gov/bill/115th-congress/senate-bill/1435,"115th Congress (2017-2018)","Veterans' Heritage Firearms Act of 2017",Republican,06/26/2017
"H.R. 3054",https://www.congress.gov/bill/115th-congress/house-bill/3054,"115th Congress (2017-2018)","Veterans' Heritage Firearms Act of 2017",Republican,06/26/2017
"H.R. 6024",https://www.congress.gov/bill/115th-congress/house-bill/6024,"115th Congress (2017-2018)","Blair Holt Firearm Owner Licensing and Record of Sale Act of 2018",Democratic,06/06/2018
"S. 3002",https://www.congress.gov/bill/115th-congress/senate-bill/3002,"115th Congress (2017-2018)","Blair Holt Firearm Owner Licensing and Record of Sale Act of 2018",Democratic,06/06/2018
"S. 318",https://www.congress.gov/bill/115th-congress/senate-bill/318,"115th Congress (2017-2018)","COPS Improvements Act of 2017",Democratic,02/06/2017
"S.Res. 308",https://www.congress.gov/bill/115th-congress/senate-resolution/308,"115th Congress (2017-2018)","A resolution commemorating the 100th anniversary of the 2nd Infantry Division.",Democratic,10/26/2017
"H.R. 7115",https://www.congress.gov/bill/115th-congress/house-bill/7115,"115th Congress (2017-2018)","3-D Firearms Prohibitions Act",Democratic,11/02/2018
"H.R. 3668",https://www.congress.gov/bill/115th-congress/house-bill/3668,"115th Congress (2017-2018)","SHARE Act",Republican,09/01/2017
"H.R. 2496",https://www.congress.gov/bill/115th-congress/house-bill/2496,"115th Congress (2017-2018)","Defunding the Corrupt and Incompetent United Nations Act",Republican,05/17/2017
"H.R. 1407",https://www.congress.gov/bill/115th-congress/house-bill/1407,"115th Congress (2017-2018)","METALS Act",Republican,03/07/2017
"S. 1915",https://www.congress.gov/bill/115th-congress/senate-bill/1915,"115th Congress (2017-2018)","Handgun Trigger Safety Act of 2017",Democratic,10/04/2017
"H.R. 2380",https://www.congress.gov/bill/115th-congress/house-bill/2380,"115th Congress (2017-2018)","Handgun Trigger Safety Act of 2017",Democratic,05/04/2017
"S. 2513",https://www.congress.gov/bill/115th-congress/senate-bill/2513,"115th Congress (2017-2018)","School Safety and Mental Health Services Improvement Act of 2018",Republican,03/07/2018
"H.R. 2757",https://www.congress.gov/bill/115th-congress/house-bill/2757,"115th Congress (2017-2018)","Public Health Violence Prevention Act",Democratic,05/26/2017
"S. 2987",https://www.congress.gov/bill/115th-congress/senate-bill/2987,"115th Congress (2017-2018)","John S. McCain National Defense Authorization Act for Fiscal Year 2019",Republican,06/05/2018
"H.R. 5942",https://www.congress.gov/bill/115th-congress/house-bill/5942,"115th Congress (2017-2018)","Health Equity and Accountability Act of 2018",Democratic,05/23/2018
"S. 2043",https://www.congress.gov/bill/115th-congress/senate-bill/2043,"115th Congress (2017-2018)","Security and Financial Empowerment Act of 2017",Democratic,10/31/2017
"H.R. 4198",https://www.congress.gov/bill/115th-congress/house-bill/4198,"115th Congress (2017-2018)","Security and Financial Empowerment Act of 2017",Democratic,10/31/2017
"S. 748",https://www.congress.gov/bill/115th-congress/senate-bill/748,"115th Congress (2017-2018)","PROFILED Act",Democratic,03/28/2017
"S. 1519",https://www.congress.gov/bill/115th-congress/senate-bill/1519,"115th Congress (2017-2018)","National Defense Authorization Act for Fiscal Year 2018",Republican,07/10/2017
"S. 3660",https://www.congress.gov/bill/115th-congress/senate-bill/3660,"115th Congress (2017-2018)","Health Equity and Accountability Act of 2018",Democratic,11/27/2018
"H.R. 5515",https://www.congress.gov/bill/115th-congress/house-bill/5515,"115th Congress (2017-2018)","John S. McCain National Defense Authorization Act for Fiscal Year 2019",Republican,04/13/2018
"H.R. 5785",https://www.congress.gov/bill/115th-congress/house-bill/5785,"115th Congress (2017-2018)","Jobs and Justice Act of 2018",Democratic,05/11/2018
"S. 1771",https://www.congress.gov/bill/115th-congress/senate-bill/1771,"115th Congress (2017-2018)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2018",Republican,09/07/2017
"H.R. 3358",https://www.congress.gov/bill/115th-congress/house-bill/3358,"115th Congress (2017-2018)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2018",Republican,07/24/2017
"H.R. 2810",https://www.congress.gov/bill/115th-congress/house-bill/2810,"115th Congress (2017-2018)","National Defense Authorization Act for Fiscal Year 2018",Republican,06/07/2017
"H.R. 6134",https://www.congress.gov/bill/115th-congress/house-bill/6134,"115th Congress (2017-2018)","Equal Protection of Unaccompanied Minors Act",Republican,06/19/2018
"H.R. 6204",https://www.congress.gov/bill/115th-congress/house-bill/6204,"115th Congress (2017-2018)","Families First Act of 2018",Republican,06/22/2018
"S. 3158",https://www.congress.gov/bill/115th-congress/senate-bill/3158,"115th Congress (2017-2018)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2019",Republican,06/28/2018
"H.R. 6470",https://www.congress.gov/bill/115th-congress/house-bill/6470,"115th Congress (2017-2018)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2019",Republican,07/23/2018
"H.R. 5952",https://www.congress.gov/bill/115th-congress/house-bill/5952,"115th Congress (2017-2018)","Commerce, Justice, Science, and Related Agencies Appropriations Act, 2019",Republican,05/24/2018
"H.R. 3267",https://www.congress.gov/bill/115th-congress/house-bill/3267,"115th Congress (2017-2018)","Commerce, Justice, Science, and Related Agencies Appropriations Act, 2018",Republican,07/17/2017
"S. 1662",https://www.congress.gov/bill/115th-congress/senate-bill/1662,"115th Congress (2017-2018)","Commerce, Justice, Science, and Related Agencies Appropriations Act, 2018",Republican,07/27/2017
"S. 3072",https://www.congress.gov/bill/115th-congress/senate-bill/3072,"115th Congress (2017-2018)","Commerce, Justice, Science, and Related Agencies Appropriations Act, 2019",Republican,06/14/2018
"H.R. 6157",https://www.congress.gov/bill/115th-congress/house-bill/6157,"115th Congress (2017-2018)","Department of Defense and Labor, Health and Human Services, and Education Appropriations Act, 2019 and Continuing Appropriations Act, 2019",Republican,06/20/2018
"S. 3159",https://www.congress.gov/bill/115th-congress/senate-bill/3159,"115th Congress (2017-2018)","Department of Defense Appropriations Act, 2019",Republican,06/28/2018
