Classification,Sentiment Scores
rights,-0.836
rights,0.9497
rights,0.9497
rights,0.9904
rights,-0.9972
rights,0.9923
rights,0.9923
rights,0.9999
rights,0.9983
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,0.9978
rights,1.0
rights,1.0
rights,0.9442
rights,-0.9443
rights,0.9945
rights,-0.9578
rights,0.9993
rights,0.9993
rights,-0.9968
rights,-0.9968
rights,0.9486
rights,-0.0772
rights,-0.0772
rights,0.9022
rights,0.9811
rights,0.981
rights,0.9062
rights,0.5727
rights,0.9759
rights,-0.9937
rights,0.9081
rights,0.8973
rights,-0.9595
rights,0.7917
rights,0.7917
rights,0.741
rights,0.9821
rights,0.9843
rights,0.9898
rights,0.9821
rights,-0.9821
rights,0.9788
rights,0.8591
rights,0.8591
rights,0.9855
rights,-0.6309
rights,0.9753
rights,0.9295
rights,0.9933
rights,-0.9729
rights,0.9933
rights,-0.9985
rights,0.9998
rights,-0.9925
rights,0.9943
rights,-0.9669
rights,0.9497
rights,0.9497
rights,0.7544
rights,-0.998
rights,0.7003
rights,0.9999
rights,-0.8858
rights,-0.8858
rights,1.0
rights,-0.9975
rights,1.0
rights,0.5267
rights,-0.9971
rights,-0.9638
rights,-0.7242
rights,0.9782
rights,0.9998
rights,0.7783
rights,0.9974
rights,-0.9828
rights,0.9987
rights,0.9935
rights,0.9993
rights,0.9993
rights,-0.9996
rights,-0.9999
rights,0.9978
rights,-0.997
rights,-0.9965
rights,-0.9996
rights,0.9995
rights,0.9996
rights,-0.9999
rights,-0.0772
rights,-0.0772
rights,-0.9683
rights,0.9442
rights,0.9442
rights,0.9003
rights,0.8885
rights,0.9022
rights,0.9811
rights,-0.8374
rights,-0.9777
rights,0.9893
rights,-0.9853
rights,0.8787
rights,-0.9853
rights,0.4939
rights,0.9062
rights,0.8937
rights,0.8271
rights,0.7544
rights,0.7544
rights,0.9999
rights,0.9939
rights,0.9925
rights,0.95
rights,0.9471
rights,0.9804
rights,-0.9595
rights,0.8973
rights,0.741
rights,-0.9522
rights,0.9898
rights,-0.9618
rights,0.9843
rights,0.9821
rights,-0.969
rights,-0.9665
rights,0.9295
rights,-0.9999
rights,0.9917
rights,-0.996
rights,0.9964
rights,0.9949
rights,0.9963
rights,0.994
rights,0.9937
rights,0.9667
rights,0.9224
rights,0.9117
rights,0.9497
rights,0.9224
rights,-0.9959
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
