Classification,Sentiment Scores
control,-0.9963
control,0.9973
control,0.2185
control,0.2185
control,0.9993
control,-0.9984
control,0.9853
control,-0.9992
control,0.9985
control,-0.9894
control,-0.9967
control,0.765
control,-0.8807
control,-0.9935
control,0.9966
control,0.9209
control,0.9876
control,0.902
control,-0.9818
control,-0.9937
control,0.0987
control,-0.711
control,1.0
control,0.5267
control,0.9896
control,0.9855
control,0.9975
control,-0.9837
control,0.9961
control,0.9999
control,-0.997
control,-0.9996
control,0.0772
control,0.9987
control,1.0
control,1.0
control,1.0
control,-1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-0.9976
control,-0.9985
control,0.8918
control,-0.9968
control,-0.5106
control,0.8176
control,-0.975
control,0.9588
control,-0.9896
control,-0.9496
control,-0.7125
control,-0.9531
control,0.9534
control,-0.9614
control,-0.9961
control,-0.9969
control,0.4939
control,0.9945
control,-0.9921
control,-0.995
control,-0.8668
control,-0.8668
control,-0.9983
control,0.9864
control,0.9983
control,0.9985
control,-0.9935
control,0.9966
control,0.991
control,0.9915
control,-0.9818
control,0.6637
control,0.6637
control,-0.9982
control,-0.9982
control,0.9878
control,1.0
control,-0.9999
control,-0.9998
control,-0.9304
control,0.9975
control,0.9975
control,0.9962
control,0.9963
control,0.9949
control,0.9961
control,-0.9878
control,0.9657
control,0.5267
control,1.0
control,-1.0
control,1.0
control,0.9999
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-1.0
control,0.997
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-0.9976
control,-0.9774
control,0.7717
control,-0.9969
control,-0.3818
control,-0.3818
control,-0.9921
control,-0.995
control,0.9955
control,-0.9723
control,-0.8506
control,0.988
control,0.9966
control,-0.8304
control,0.9999
control,-0.9987
control,0.9878
control,1.0
control,0.743
control,0.9975
control,0.9962
control,0.9962
control,0.9962
control,-0.925
control,-1.0
control,0.9995
control,0.5267
control,-1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-1.0
control,1.0
